Table Name,Column Name,Data Type,Nullable,Primary Key,Foreign Key,Indexed,Unique,Default,Comment,Purpose
state_cme_base_requirements,id,UUID,No,Yes,,Yes,,uuid4,Primary key,Core identification
state_cme_base_requirements,state_code,String(10),No,,,Yes,Yes,,"State/territory code with board designation (CA-M, CA-O, TX)",State identification - supports separate MD/DO boards
state_cme_base_requirements,state_name,String(50),No,,,,,,Full state name,Human-readable state name
state_cme_base_requirements,board_type,String(20),No,,,Yes,,,"MEDICAL, OSTEOPATHIC, or COMBINED",Which licensing board this applies to
state_cme_base_requirements,provider_type,String(10),No,,,Yes,,,"MD, DO, or BOTH",Which provider types this requirement applies to
state_cme_base_requirements,substantial_cme_required,Boolean,No,,,,,True,Whether state requires substantial CME (>=15 hrs/year),Quick filter for states with CME requirements
state_cme_base_requirements,cme_equivalent_accepted,Boolean,No,,,,,False,Whether board certification/equivalents accepted,Indicates if exemptions are available
state_cme_base_requirements,total_hours_required,Integer,Yes,,,,,,Total CME hours required per cycle,Core requirement - total hours needed
state_cme_base_requirements,renewal_period_months,Integer,Yes,,,,,,"License renewal period in months (12, 24, 36, 48)",Cycle length for calculating deadlines
state_cme_base_requirements,hours_per_year_equivalent,Decimal(5,2),Yes,,,,,,Calculated annual rate,Normalized comparison across states
state_cme_base_requirements,min_category1_hours,Integer,Yes,,,,,,Minimum Category 1 hours required,AMA Category 1 credit requirements
state_cme_base_requirements,category1_percentage,Decimal(5,2),Yes,,,,,,Percentage that must be Category 1,Alternative way to specify Category 1
state_cme_base_requirements,max_category2_hours,Integer,Yes,,,,,,Maximum Category 2 hours allowed,Limit on self-study/Category 2 credits
state_cme_base_requirements,rollover_allowed,Boolean,No,,,,,False,Whether excess credits can roll over,Credit carryover policy
state_cme_base_requirements,max_rollover_hours,Integer,Yes,,,,,,Maximum hours that can roll over,Limit on rollover credits
state_cme_base_requirements,accreditation_required,String(200),Yes,,,,,,"Required accrediting bodies (AMA, AOA, ACCME)",Which accrediting bodies are accepted
state_cme_base_requirements,effective_date,Date,Yes,,,,,,When requirement became effective,For tracking requirement changes
state_cme_base_requirements,last_updated,Date,No,,,,,utcnow,When this record was last updated,Data freshness tracking
state_cme_base_requirements,statute_citation,Text,Yes,,,,,,"Legal reference (statute, regulation)",Official legal source
state_cme_base_requirements,board_guidance_url,String(500),Yes,,,,,,Link to official board guidance,Direct link to authoritative source
state_cme_base_requirements,notes,Text,Yes,,,,,,"Additional context, exemptions, edge cases",Important exceptions and details
state_cme_base_requirements,requirement_metadata,JSONB,Yes,,,,,,Extensible metadata for future requirements,Flexible storage for new fields
content_specific_cme,id,UUID,No,Yes,,Yes,,uuid4,Primary key,Core identification
content_specific_cme,requirement_id,String(50),No,,,Yes,Yes,,"Unique identifier (AL-MD-OPIOID-001)",Business key for requirement
content_specific_cme,state_code,String(10),No,,state_cme_base_requirements.state_code,Yes,,,Links to state base requirements,Foreign key to base state
content_specific_cme,board_type,String(20),No,,,,,,"MEDICAL, OSTEOPATHIC, or COMBINED",Which board this applies to
content_specific_cme,provider_type,String(10),No,,,Yes,,,"MD, DO, or BOTH",Which provider types affected
content_specific_cme,topic_category,String(50),No,,,Yes,,,"Standardized topic (OPIOID_PRESCRIBING, MEDICAL_ETHICS)",Normalized topic classification
content_specific_cme,topic_subcategory,String(100),Yes,,,,,,Specific focus within category,Detailed topic specification
content_specific_cme,hours_required,Decimal(4,2),No,,,,,,Hours required for this topic,Number of hours needed
content_specific_cme,requirement_type,String(20),No,,,,,,"ONE_TIME, PER_RENEWAL, PER_YEAR, EVERY_N_YEARS",Frequency of requirement
content_specific_cme,frequency_months,Integer,Yes,,,,,,How often required in months,Specific timing for recurring requirements
content_specific_cme,frequency_description,String(100),Yes,,,,,,Human-readable frequency,User-friendly frequency text
content_specific_cme,conditional,Boolean,No,,,Yes,,False,Whether requirement has conditions,Quick filter for conditional requirements
content_specific_cme,condition_type,String(50),Yes,,,,,,"Type of condition (DEA_REGISTRATION, SPECIALTY)",Categorizes the condition
content_specific_cme,condition_description,Text,Yes,,,,,,Full description of conditions,Complete condition details
content_specific_cme,applies_to_new_licensees,Boolean,No,,,,,False,Whether this is a new licensee requirement,Special requirements for first renewal
content_specific_cme,new_licensee_timeframe,Integer,Yes,,,,,,Months for new licensees to complete,Deadline for new licensee requirements
content_specific_cme,effective_date,Date,Yes,,,,,,When requirement became effective,For tracking requirement changes
content_specific_cme,statute_citation,Text,Yes,,,,,,Legal reference,Official legal source
content_specific_cme,notes,Text,Yes,,,,,,"Additional details, exceptions, edge cases",Important exceptions and details
exemptions_equivalents,id,UUID,No,Yes,,Yes,,uuid4,Primary key,Core identification
exemptions_equivalents,exemption_id,String(50),No,,,Yes,Yes,,"Unique identifier (AL-EQUIV-ABMS-001)",Business key for exemption
exemptions_equivalents,state_code,String(10),No,,state_cme_base_requirements.state_code,Yes,,,Links to state base requirements,Foreign key to base state
exemptions_equivalents,board_type,String(20),No,,,,,,"MEDICAL, OSTEOPATHIC, or COMBINED",Which board this applies to
exemptions_equivalents,exemption_type,String(50),No,,,Yes,,,"BOARD_CERTIFICATION, RESIDENCY_TRAINING, MOC_PARTICIPATION",Type of exemption
exemptions_equivalents,exemption_category,String(50),No,,,,,,"SPECIALTY_BOARD, TRAINING, SERVICE",Broader category of exemption
exemptions_equivalents,description,Text,No,,,,,,What qualifies for this exemption,Full description of qualification
exemptions_equivalents,credit_hours_granted,Integer,Yes,,,,,,Hours credited (NULL if full exemption),Partial credit amount
exemptions_equivalents,full_exemption,Boolean,No,,,,,False,Whether this exempts all CME requirements,Complete waiver indicator
exemptions_equivalents,conditions,Text,Yes,,,,,,Requirements to qualify for exemption,Prerequisites for exemption
exemptions_equivalents,documentation_required,Text,Yes,,,,,,What must be submitted to board,Required proof documents
exemptions_equivalents,board_organizations,String(200),Yes,,,,,,"Recognized boards (ABMS, AOA, RCPSC)",Which certifying boards qualify
exemptions_equivalents,statute_citation,Text,Yes,,,,,,Legal reference,Official legal source
exemptions_equivalents,notes,Text,Yes,,,,,,Additional details and exceptions,Important exceptions and details
special_population_requirements,id,UUID,No,Yes,,Yes,,uuid4,Primary key,Core identification
special_population_requirements,requirement_id,String(50),No,,,Yes,Yes,,Unique identifier,Business key for requirement
special_population_requirements,state_code,String(10),No,,state_cme_base_requirements.state_code,Yes,,,Links to state base requirements,Foreign key to base state
special_population_requirements,provider_type,String(10),No,,,,,,"MD, DO, or BOTH",Which provider types affected
special_population_requirements,specialty_type,String(100),Yes,,,Yes,,,"Specialty affected (General Internal Medicine, Family Practice)",Which specialties trigger requirement
special_population_requirements,population_criteria,String(200),Yes,,,,,,Population definition (25% of patients â‰¥65 years),Patient demographic trigger
special_population_requirements,hours_required,Decimal(4,2),Yes,,,,,,Additional hours required,Fixed hour requirement
special_population_requirements,percentage_of_total,Decimal(5,2),Yes,,,,,,Percentage of total CME,Percentage-based requirement
special_population_requirements,topic_area,String(100),No,,,,,,Subject matter required (Geriatric Medicine),Required topic focus
special_population_requirements,statute_citation,Text,Yes,,,,,,Legal reference,Official legal source
special_population_requirements,notes,Text,Yes,,,,,,Additional details and exceptions,Important exceptions and details
state_board_contacts,id,UUID,No,Yes,,Yes,,uuid4,Primary key,Core identification
state_board_contacts,state_code,String(10),No,,,Yes,Yes,,"State/territory code (links to base requirements)",State identification
state_board_contacts,board_name,String(200),No,,,,,,Official board name,Full official board name
state_board_contacts,board_abbreviation,String(20),Yes,,,,,,"Common abbreviation (ALBME)",Short form for display
state_board_contacts,website_url,String(500),Yes,,,,,,Official website URL,Primary board website
state_board_contacts,cme_guidance_url,String(500),Yes,,,,,,CME-specific guidance page URL,Direct link to CME info
state_board_contacts,contact_email,String(100),Yes,,,,,,Contact email,Board contact email
state_board_contacts,phone,String(20),Yes,,,,,,Contact phone,Board phone number
state_board_contacts,last_verified,Date,No,,,,,utcnow,When contact info was last verified,Data freshness tracking
state_board_contacts,notes,Text,Yes,,,,,,Additional information,Important notes about board
